Date, Verbrauch
2012/01/01 00:15,19.2
2012/01/01 00:30,18.4
2012/01/01 00:45,19.6
2012/01/01 01:00,21
2012/01/01 01:15,20
2012/01/01 01:30,18.8
2012/01/01 01:45,18.4
2012/01/01 02:00,21.4
2012/01/01 02:15,19.8
2012/01/01 02:30,19.4
2012/01/01 02:45,18.4
2012/01/01 03:00,20.4
2012/01/01 03:15,21.2
2012/01/01 03:30,18.6
2012/01/01 03:45,19
2012/01/01 04:00,20.4
2012/01/01 04:15,20.6
2012/01/01 04:30,19
2012/01/01 04:45,18.6
2012/01/01 05:00,20.2
2012/01/01 05:15,20.4
2012/01/01 05:30,18.6
2012/01/01 05:45,18.4
2012/01/01 06:00,22.2
2012/01/01 06:15,23
2012/01/01 06:30,19.2
2012/01/01 06:45,20.6
2012/01/01 07:00,21.6
2012/01/01 07:15,21.8
2012/01/01 07:30,19.6
2012/01/01 07:45,20.2
2012/01/01 08:00,22.4
2012/01/01 08:15,21.2
2012/01/01 08:30,19.8
2012/01/01 08:45,17.8
2012/01/01 09:00,20.4
2012/01/01 09:15,19.2
2012/01/01 09:30,17.6
2012/01/01 09:45,17
2012/01/01 10:00,20.4
2012/01/01 10:15,18
2012/01/01 10:30,17
2012/01/01 10:45,17.4
2012/01/01 11:00,21.6
2012/01/01 11:15,16.4
2012/01/01 11:30,16.6
2012/01/01 11:45,16.6
2012/01/01 12:00,20.6
2012/01/01 12:15,16.6
2012/01/01 12:30,15.8
2012/01/01 12:45,17.6
2012/01/01 13:00,19.2
2012/01/01 13:15,15.6
2012/01/01 13:30,16.2
2012/01/01 13:45,18.2
2012/01/01 14:00,16.8
2012/01/01 14:15,15.4
2012/01/01 14:30,15
2012/01/01 14:45,20
2012/01/01 15:00,15.2
2012/01/01 15:15,14.8
2012/01/01 15:30,15
2012/01/01 15:45,19.2
2012/01/01 16:00,15
2012/01/01 16:15,15
2012/01/01 16:30,16.8
2012/01/01 16:45,17.8
2012/01/01 17:00,15
2012/01/01 17:15,15.2
2012/01/01 17:30,18.2
2012/01/01 17:45,16
2012/01/01 18:00,15.6
2012/01/01 18:15,15.8
2012/01/01 18:30,18.2
2012/01/01 18:45,15.4
2012/01/01 19:00,15.2
2012/01/01 19:15,15.2
2012/01/01 19:30,19.8
2012/01/01 19:45,15.2
2012/01/01 20:00,15.4
2012/01/01 20:15,15.6
2012/01/01 20:30,19.2
2012/01/01 20:45,15.2
2012/01/01 21:00,15.8
2012/01/01 21:15,16.6
2012/01/01 21:30,17.8
2012/01/01 21:45,15.6
2012/01/01 22:00,15
2012/01/01 22:15,18.6
2012/01/01 22:30,16.2
2012/01/01 22:45,16
2012/01/01 23:00,14.8
